Date,Currency,Category,Product,Rate_Type,Value,Source
2013-05-01,USD,Loans,Overdraft,Weighted Average on New Amount,7.091943993627098,NBC_Excel
2013-05-01,USD,Loans,Term Loans,Weighted Average on New Amount,12.761316580902735,NBC_Excel
2013-05-01,USD,Deposits,Demand Deposits,Weighted Average on Outstanding Amount,0.18462130867031,NBC_Excel
2013-05-01,USD,Deposits,Other Deposits,Weighted Average on Outstanding Amount,5.526357634603629,NBC_Excel
2013-05-01,USD,Deposits,Saving Deposits,Weighted Average on Outstanding Amount,1.0366557012900965,NBC_Excel
2013-05-01,USD,Deposits,Term Deposits,Weighted Average on Outstanding Amount,4.022812197577835,NBC_Excel
2013-05-01,USD,Loans,Credit Card,Weighted Average on Outstanding Amount,19.845134707174136,NBC_Excel
2013-05-01,USD,Loans,Other Loans,Weighted Average on Outstanding Amount,7.598729646088491,NBC_Excel
2013-05-01,USD,Loans,Overdraft,Weighted Average on Outstanding Amount,9.358940519544543,NBC_Excel
2013-05-01,USD,Loans,Term Loans,Weighted Average on Outstanding Amount,11.221601509416773,NBC_Excel
2013-06-01,KHR,Deposits,Demand Deposits,Weighted Average on New Amount,0.1367749435025585,NBC_Excel
2013-06-01,KHR,Deposits,Other Deposits,Weighted Average on New Amount,0.0,NBC_Excel
2013-06-01,KHR,Deposits,Saving Deposits,Weighted Average on New Amount,0.9996460247906884,NBC_Excel
2013-06-01,KHR,Deposits,Term Deposits,Weighted Average on New Amount,5.956353228520876,NBC_Excel
2013-06-01,KHR,Loans,Credit Card,Weighted Average on New Amount,0.0,NBC_Excel
2013-06-01,KHR,Loans,Other Loans,Weighted Average on New Amount,0.0,NBC_Excel
2013-06-01,KHR,Loans,Overdraft,Weighted Average on New Amount,24.0,NBC_Excel
2013-06-01,KHR,Loans,Term Loans,Weighted Average on New Amount,30.01781564529101,NBC_Excel
2013-06-01,KHR,Deposits,Demand Deposits,Weighted Average on Outstanding Amount,0.11321583239784853,NBC_Excel
2013-06-01,KHR,Deposits,Other Deposits,Weighted Average on Outstanding Amount,0.0,NBC_Excel
2013-06-01,KHR,Deposits,Saving Deposits,Weighted Average on Outstanding Amount,1.1924635571276943,NBC_Excel
2013-06-01,KHR,Deposits,Term Deposits,Weighted Average on Outstanding Amount,6.712087632115178,NBC_Excel
2013-06-01,KHR,Loans,Credit Card,Weighted Average on Outstanding Amount,0.0,NBC_Excel
2013-06-01,KHR,Loans,Other Loans,Weighted Average on Outstanding Amount,0.0,NBC_Excel
2013-06-01,KHR,Loans,Overdraft,Weighted Average on Outstanding Amount,23.999999999999996,NBC_Excel
2013-06-01,KHR,Loans,Term Loans,Weighted Average on Outstanding Amount,29.7534151493461,NBC_Excel
2013-06-01,USD,Deposits,Demand Deposits,Weighted Average on New Amount,0.10890703620715124,NBC_Excel
2013-06-01,USD,Deposits,Other Deposits,Weighted Average on New Amount,0.20501739641183678,NBC_Excel
2013-06-01,USD,Deposits,Saving Deposits,Weighted Average on New Amount,0.49831709381927175,NBC_Excel
2013-06-01,USD,Deposits,Term Deposits,Weighted Average on New Amount,3.4469344248569893,NBC_Excel
2013-06-01,USD,Loans,Credit Card,Weighted Average on New Amount,22.11171361628278,NBC_Excel
2013-06-01,USD,Loans,Other Loans,Weighted Average on New Amount,8.178762845712962,NBC_Excel
2013-06-01,USD,Loans,Overdraft,Weighted Average on New Amount,7.216556242796525,NBC_Excel
2013-06-01,USD,Loans,Term Loans,Weighted Average on New Amount,12.638167912033877,NBC_Excel
2013-06-01,USD,Deposits,Demand Deposits,Weighted Average on Outstanding Amount,0.14989486986754466,NBC_Excel
2013-06-01,USD,Deposits,Other Deposits,Weighted Average on Outstanding Amount,5.534640436236086,NBC_Excel
2013-06-01,USD,Deposits,Saving Deposits,Weighted Average on Outstanding Amount,1.0365656388248168,NBC_Excel
2013-06-01,USD,Deposits,Term Deposits,Weighted Average on Outstanding Amount,3.9925408351692884,NBC_Excel
2013-06-01,USD,Loans,Credit Card,Weighted Average on Outstanding Amount,19.901457779345268,NBC_Excel
2013-06-01,USD,Loans,Other Loans,Weighted Average on Outstanding Amount,7.509132166820143,NBC_Excel
2013-06-01,USD,Loans,Overdraft,Weighted Average on Outstanding Amount,9.333099939112106,NBC_Excel
2013-06-01,USD,Loans,Term Loans,Weighted Average on Outstanding Amount,10.97852956508333,NBC_Excel
2013-07-01,KHR,Deposits,Demand Deposits,Weighted Average on New Amount,0.14845037103517048,NBC_Excel
2013-07-01,KHR,Deposits,Other Deposits,Weighted Average on New Amount,0.0,NBC_Excel
2013-07-01,KHR,Deposits,Saving Deposits,Weighted Average on New Amount,1.0220307373949233,NBC_Excel
2013-07-01,KHR,Deposits,Term Deposits,Weighted Average on New Amount,6.35747794978812,NBC_Excel
2013-07-01,KHR,Loans,Credit Card,Weighted Average on New Amount,0.0,NBC_Excel
2013-07-01,KHR,Loans,Other Loans,Weighted Average on New Amount,0.0,NBC_Excel
2013-07-01,KHR,Loans,Overdraft,Weighted Average on New Amount,0.0,NBC_Excel
2013-07-01,KHR,Loans,Term Loans,Weighted Average on New Amount,30.044475773122038,NBC_Excel
2013-07-01,KHR,Deposits,Demand Deposits,Weighted Average on Outstanding Amount,0.11816236505806665,NBC_Excel
2013-07-01,KHR,Deposits,Other Deposits,Weighted Average on Outstanding Amount,0.0,NBC_Excel
2013-07-01,KHR,Deposits,Saving Deposits,Weighted Average on Outstanding Amount,1.214755232812937,NBC_Excel
2013-07-01,KHR,Deposits,Term Deposits,Weighted Average on Outstanding Amount,6.723842804229122,NBC_Excel
2013-07-01,KHR,Loans,Credit Card,Weighted Average on Outstanding Amount,0.0,NBC_Excel
2013-07-01,KHR,Loans,Other Loans,Weighted Average on Outstanding Amount,0.0,NBC_Excel
2013-07-01,KHR,Loans,Overdraft,Weighted Average on Outstanding Amount,24.0,NBC_Excel
2013-07-01,KHR,Loans,Term Loans,Weighted Average on Outstanding Amount,29.751649271029823,NBC_Excel
2013-07-01,USD,Deposits,Demand Deposits,Weighted Average on New Amount,0.12273686447585529,NBC_Excel
2013-07-01,USD,Deposits,Other Deposits,Weighted Average on New Amount,0.013107217744511524,NBC_Excel
2013-07-01,USD,Deposits,Saving Deposits,Weighted Average on New Amount,0.5834363176418906,NBC_Excel
2013-07-01,USD,Deposits,Term Deposits,Weighted Average on New Amount,3.2771635565217165,NBC_Excel
2013-07-01,USD,Loans,Credit Card,Weighted Average on New Amount,22.38854052246475,NBC_Excel
2013-07-01,USD,Loans,Other Loans,Weighted Average on New Amount,8.531471910759624,NBC_Excel
2013-07-01,USD,Loans,Overdraft,Weighted Average on New Amount,7.71055120986268,NBC_Excel
2013-07-01,USD,Loans,Term Loans,Weighted Average on New Amount,14.01804882766799,NBC_Excel
2013-07-01,USD,Deposits,Demand Deposits,Weighted Average on Outstanding Amount,0.16048480299931853,NBC_Excel
2013-07-01,USD,Deposits,Other Deposits,Weighted Average on Outstanding Amount,5.594731739122212,NBC_Excel
2013-07-01,USD,Deposits,Saving Deposits,Weighted Average on Outstanding Amount,1.079449365795706,NBC_Excel
2013-07-01,USD,Deposits,Term Deposits,Weighted Average on Outstanding Amount,4.028252846964612,NBC_Excel
2013-07-01,USD,Loans,Credit Card,Weighted Average on Outstanding Amount,20.084159183819995,NBC_Excel
2013-07-01,USD,Loans,Other Loans,Weighted Average on Outstanding Amount,7.608997098336124,NBC_Excel
2013-07-01,USD,Loans,Overdraft,Weighted Average on Outstanding Amount,9.26689203968136,NBC_Excel
2013-07-01,USD,Loans,Term Loans,Weighted Average on Outstanding Amount,11.038427744238435,NBC_Excel
2013-08-01,KHR,Deposits,Demand Deposits,Weighted Average on New Amount,0.1360949010891383,NBC_Excel
2013-08-01,KHR,Deposits,Other Deposits,Weighted Average on New Amount,0.0,NBC_Excel
2013-08-01,KHR,Deposits,Saving Deposits,Weighted Average on New Amount,1.0505916376302507,NBC_Excel
2013-08-01,KHR,Deposits,Term Deposits,Weighted Average on New Amount,5.599168763091479,NBC_Excel
2013-08-01,KHR,Loans,Credit Card,Weighted Average on New Amount,0.0,NBC_Excel
2013-08-01,KHR,Loans,Other Loans,Weighted Average on New Amount,0.0,NBC_Excel
2013-08-01,KHR,Loans,Overdraft,Weighted Average on New Amount,24.000000000000004,NBC_Excel
2013-08-01,KHR,Loans,Term Loans,Weighted Average on New Amount,28.895270793801934,NBC_Excel
2013-08-01,KHR,Deposits,Demand Deposits,Weighted Average on Outstanding Amount,0.3227194671485318,NBC_Excel
2013-08-01,KHR,Deposits,Other Deposits,Weighted Average on Outstanding Amount,0.0,NBC_Excel
2013-08-01,KHR,Deposits,Saving Deposits,Weighted Average on Outstanding Amount,1.360724486886096,NBC_Excel
2013-08-01,KHR,Deposits,Term Deposits,Weighted Average on Outstanding Amount,6.506228043138249,NBC_Excel
2013-08-01,KHR,Loans,Credit Card,Weighted Average on Outstanding Amount,0.0,NBC_Excel
2013-08-01,KHR,Loans,Other Loans,Weighted Average on Outstanding Amount,0.0,NBC_Excel
2013-08-01,KHR,Loans,Overdraft,Weighted Average on Outstanding Amount,24.0,NBC_Excel
2013-08-01,KHR,Loans,Term Loans,Weighted Average on Outstanding Amount,29.575620970159168,NBC_Excel
2013-08-01,USD,Deposits,Demand Deposits,Weighted Average on New Amount,0.1719729064111753,NBC_Excel
2013-08-01,USD,Deposits,Other Deposits,Weighted Average on New Amount,0.025982874013798903,NBC_Excel
2013-08-01,USD,Deposits,Saving Deposits,Weighted Average on New Amount,0.5935397133300733,NBC_Excel
2013-08-01,USD,Deposits,Term Deposits,Weighted Average on New Amount,3.3261870581705404,NBC_Excel
2013-08-01,USD,Loans,Credit Card,Weighted Average on New Amount,22.04903989299062,NBC_Excel
2013-08-01,USD,Loans,Other Loans,Weighted Average on New Amount,8.434654932004017,NBC_Excel
2013-08-01,USD,Loans,Overdraft,Weighted Average on New Amount,7.159254477005912,NBC_Excel
2013-08-01,USD,Loans,Term Loans,Weighted Average on New Amount,8.299102971835682,NBC_Excel
2013-08-01,USD,Deposits,Demand Deposits,Weighted Average on Outstanding Amount,0.15635450097383938,NBC_Excel
2013-08-01,USD,Deposits,Other Deposits,Weighted Average on Outstanding Amount,5.6997485230908636,NBC_Excel
2013-08-01,USD,Deposits,Saving Deposits,Weighted Average on Outstanding Amount,0.8662745498877097,NBC_Excel
2013-08-01,USD,Deposits,Term Deposits,Weighted Average on Outstanding Amount,4.130523263020031,NBC_Excel
2013-08-01,USD,Loans,Credit Card,Weighted Average on Outstanding Amount,20.15955753584456,NBC_Excel
2013-08-01,USD,Loans,Other Loans,Weighted Average on Outstanding Amount,7.660342809891163,NBC_Excel
2013-08-01,USD,Loans,Overdraft,Weighted Average on Outstanding Amount,9.320848419273961,NBC_Excel
2013-08-01,USD,Loans,Term Loans,Weighted Average on Outstanding Amount,10.872108599442132,NBC_Excel
2013-09-01,KHR,Deposits,Demand Deposits,Weighted Average on New Amount,0.203383588711951,NBC_Excel
2013-09-01,KHR,Deposits,Other Deposits,Weighted Average on New Amount,0.0,NBC_Excel
2013-09-01,KHR,Deposits,Saving Deposits,Weighted Average on New Amount,0.9843705638329937,NBC_Excel
2013-09-01,KHR,Deposits,Term Deposits,Weighted Average on New Amount,5.716263045782563,NBC_Excel
2013-09-01,KHR,Loans,Credit Card,Weighted Average on New Amount,0.0,NBC_Excel
2013-09-01,KHR,Loans,Other Loans,Weighted Average on New Amount,0.0,NBC_Excel
2013-09-01,KHR,Loans,Overdraft,Weighted Average on New Amount,0.0,NBC_Excel
2013-09-01,KHR,Loans,Term Loans,Weighted Average on New Amount,29.07172286180648,NBC_Excel
2013-09-01,KHR,Deposits,Demand Deposits,Weighted Average on Outstanding Amount,0.37848412884866495,NBC_Excel
2013-09-01,KHR,Deposits,Other Deposits,Weighted Average on Outstanding Amount,0.0,NBC_Excel
2013-09-01,KHR,Deposits,Saving Deposits,Weighted Average on Outstanding Amount,1.36961219206134,NBC_Excel
2013-09-01,KHR,Deposits,Term Deposits,Weighted Average on Outstanding Amount,6.468972046789697,NBC_Excel
2013-09-01,KHR,Loans,Credit Card,Weighted Average on Outstanding Amount,0.0,NBC_Excel
2013-09-01,KHR,Loans,Other Loans,Weighted Average on Outstanding Amount,0.0,NBC_Excel
2013-09-01,KHR,Loans,Overdraft,Weighted Average on Outstanding Amount,23.999569743399746,NBC_Excel
2013-09-01,KHR,Loans,Term Loans,Weighted Average on Outstanding Amount,29.50402328924801,NBC_Excel
