date,USD_spread,KHR_spread,Sc_rolling_USD,Sc_rolling_KHR,P_dyn_USD,P_dyn_KHR,CRI_dyn_USD,CRI_dyn_KHR,CRI_dyn_System,CRI_static_USD,CRI_static_KHR,CRI_static_System
2017-02-01,7.226134354372894,14.089385761341887,10.90638133406659,24.013984611013434,0.00022729981769975538,0.003898613499317305,0.04555863615243309,0.14990997404941506,0.06642890373182948,0.19736377130048535,0.33333333548833227,0.22455768413805477
2017-03-01,9.102453955235491,15.007061294755818,10.86404690743166,23.514891081347432,0.02117432722350565,0.06899535397372936,0.055863543852538756,0.367831010320198,0.11825703714607061,0.20749766159713293,0.3333333711015207,0.2326648034980105
2017-04-01,8.495090246303837,12.12537308432167,10.86404690743166,23.23778717904123,0.008847703644268456,0.047986580381019994,0.05278393364410912,0.2670966151487054,0.09564646994502839,0.1997949860271083,0.3333333333353714,0.22650265548876092
2017-05-01,6.923311045490069,12.47289956210982,10.86404690743166,23.111567751643193,0.00014535490022127284,0.031234829821011778,0.04612789441931226,0.23469087217872386,0.08384048997119459,0.19732658122145028,0.33333333334092685,0.22452793164534562
2017-06-01,7.1420760975053525,12.038401801269002,10.86404690743166,22.867864560117876,0.0003465189649418665,0.017101035694608413,0.047933863509944316,0.20601542186309887,0.07955017518057522,0.19734948712954012,0.33333333333479154,0.22454625637059042
2017-07-01,7.701630089077099,12.943192513956715,10.86404690743166,22.72528429882159,0.0012588172789185226,0.015079398540425948,0.04794016838295079,0.19473620321987306,0.07729937535033525,0.19757427467556174,0.333333333375865,0.22472608641562242
2017-08-01,7.580277366180921,11.317462018672064,10.86404690743166,21.89509233325989,0.0009456795170997845,0.01288887333873967,0.04784863479960252,0.18842650765655117,0.07596420937099226,0.1974896984823387,0.3333333333334167,0.22465842545255432
2017-09-01,6.9965983945487995,10.875595938224055,10.86404690743166,21.18934499845568,0.0001697813747187915,0.01407455421723447,0.0472924446382388,0.1855348098891186,0.07494091768841477,0.1973324612673157,0.3333333333333467,0.22453263568052192
2017-10-01,5.423311009444285,11.15893155920724,10.86404690743166,20.90011045885766,7.006627750216765e-07,0.013649958613918711,0.047256606226992744,0.18020275606312963,0.07384583619422012,0.1973073393666069,0.33333333333337684,0.22451253815996092
2017-11-01,6.600893910592676,10.830799163601508,10.86404690743166,20.90011045885766,4.702104965981224e-05,0.00874662927788794,0.047792283387600935,0.17421660810657505,0.07307714833139575,0.19731300787450703,0.33333333333334436,0.22451707296627452
2017-12-01,6.611384717022452,10.208919880091596,10.86404690743166,20.90011045885766,7.04777743975038e-05,0.004554150964977577,0.04864490813618738,0.16755215192089848,0.0724263568931296,0.19731324552612925,0.3333333333333341,0.22451726308757022
2018-01-01,4.756408229749331,10.489846870072396,10.86404690743166,20.90011045885766,1.8679938706966936e-09,0.003333673117081326,0.044029110222687434,0.16184180894034167,0.06759164996621829,0.19730730575478614,0.33333333333333587,0.2245125112704961
2018-02-01,4.042571404200893,10.68491908903242,10.86404690743166,20.68257288104434,7.876699292808098e-11,0.00395241867792806,0.04574089984953605,0.16086086468904942,0.06876489281743872,0.1973073045479742,0.33333333333333925,0.22451251030504726
2018-03-01,7.009230160302738,8.71613740781211,10.685464633076862,20.68257288104434,9.07336509290424e-05,0.0008457924547672357,0.04548483800920379,0.15839447344900465,0.06806676509716397,0.19733363211505703,0.3333333333333333,0.2245335723587123
