smoothed_regime1_usd,smoothed_regime2_usd,smoothed_regime1_khr,smoothed_regime2_khr,date
0.16257669202227681,0.8374233079777231,0.029401030190347715,0.9705989698096523,2015-03-01
0.04541090905559873,0.9545890909444013,0.006246368214463892,0.993753631785536,2015-04-01
0.01943903645792349,0.9805609635420766,0.002559656974479812,0.9974403430255202,2015-05-01
0.016163346501408996,0.983836653498591,0.0022583660432130177,0.9977416339567869,2015-06-01
0.01686785535342867,0.9831321446465713,0.0034861718249772876,0.9965138281750228,2015-07-01
0.024142362288430173,0.9758576377115699,0.0113611772810115,0.9886388227189884,2015-08-01
0.04075395093104991,0.9592460490689502,0.04011342276219714,0.9598865772378029,2015-09-01
0.1329742465969169,0.8670257534030832,0.19986619817097095,0.800133801829029,2015-10-01
0.2682890332791648,0.7317109667208352,0.7419030604393672,0.2580969395606328,2015-11-01
0.34719070744575226,0.6528092925542478,0.8761581070824697,0.12384189291753044,2015-12-01
0.9999999999347913,6.520881317047225e-11,0.9998550705097159,0.00014492949028420502,2016-01-01
0.17286065365388134,0.8271393463461187,0.2221067743174022,0.7778932256825978,2016-02-01
0.04283730958215922,0.9571626904178409,0.0705882122096435,0.9294117877903565,2016-03-01
0.024162922763094598,0.9758370772369054,0.0464701961248881,0.953529803875112,2016-04-01
0.018452476583091505,0.9815475234169085,0.03863442791726799,0.9613655720827321,2016-05-01
0.028578421561881995,0.971421578438118,0.04641092002424747,0.9535890799757526,2016-06-01
0.043372003267726035,0.956627996732274,0.12731799795662627,0.8726820020433738,2016-07-01
0.03142465242696618,0.9685753475730338,0.579191715029106,0.4208082849708939,2016-08-01
0.05322225595769881,0.9467777440423012,0.626662722248505,0.373337277751495,2016-09-01
0.2038737038720936,0.7961262961279064,0.6598166357679316,0.34018336423206846,2016-10-01
0.9982937504207273,0.001706249579272623,0.7376989538851089,0.2623010461148911,2016-11-01
0.541489936090708,0.458510063909292,0.9999985755922784,1.4244077215874784e-06,2016-12-01
0.5057776481166985,0.49422235188330166,0.9999999999999989,9.999999999999989e-16,2017-01-01
0.4813929976744903,0.5186070023255098,0.9999999999999989,9.999999999999995e-16,2017-02-01
0.997307085833335,0.0026929141666649707,0.8735004155956797,0.12649958440432035,2017-03-01
0.7140808794082631,0.2859191205917369,0.8468720892436781,0.15312791075632198,2017-04-01
0.8172502021813546,0.1827497978186454,0.0894346781724772,0.9105653218275227,2017-05-01
0.2698963466407621,0.7301036533592379,0.009099233712166458,0.9909007662878336,2017-06-01
0.17452852287004797,0.8254714771299521,0.004263243657923526,0.9957367563420765,2017-07-01
0.12766453995719762,0.8723354600428023,0.0030446568992905476,0.9969553431007094,2017-08-01
0.30006113838696447,0.6999388616130355,0.0005608845715385245,0.9994391154284614,2017-09-01
0.9399768938065737,0.06002310619342627,0.0005199648230114799,0.9994800351769886,2017-10-01
0.9146907702821139,0.0853092297178862,0.00039548712532270905,0.9996045128746773,2017-11-01
0.7332228438456245,0.26677715615437536,0.00034883026392722974,0.9996511697360728,2017-12-01
0.9960149477295389,0.003985052270460991,0.0003961452499445971,0.9996038547500554,2018-01-01
0.9149060266168261,0.08509397338317393,0.0004688686484610607,0.9995311313515389,2018-02-01
0.999999907065556,9.293444410312997e-08,0.0016423175123063416,0.9983576824876936,2018-03-01
0.42911114523843935,0.5708888547615607,0.000302182385115472,0.9996978176148845,2018-04-01
0.10803819339984513,0.8919618066001549,0.00021078516464402523,0.999789214835356,2018-05-01
0.0649761437421267,0.9350238562578733,0.00016655589004902716,0.999833444109951,2018-06-01
0.04319533544405377,0.9568046645559463,0.00016991417381386568,0.9998300858261862,2018-07-01
0.02564921963268862,0.9743507803673113,6.294551349242716e-05,0.9999370544865076,2018-08-01
0.029645917636492915,0.9703540823635072,0.00012777394352326846,0.9998722260564766,2018-09-01
0.02033129215401837,0.9796687078459816,0.00012389264975555707,0.9998761073502445,2018-10-01
0.023194513910528253,0.9768054860894718,8.452443674622056e-05,0.9999154755632538,2018-11-01
0.0204408271564211,0.9795591728435789,7.181337536442345e-05,0.9999281866246356,2018-12-01
0.028562139257933904,0.9714378607420662,0.0003560249520832563,0.9996439750479167,2019-01-01
0.024235101944173564,0.9757648980558264,0.00010222409841850242,0.9998977759015815,2019-02-01
0.028229038950645054,0.9717709610493549,0.00013980328063158828,0.9998601967193684,2019-03-01
0.023623426987809133,0.9763765730121908,3.825022205673789e-05,0.9999617497779433,2019-04-01
0.020865846117632918,0.9791341538823671,3.667920000522573e-05,0.9999633207999947,2019-05-01
0.023923289374030245,0.9760767106259698,0.00012172734560737641,0.9998782726543926,2019-06-01
0.021035677540199752,0.9789643224598001,3.397755421108596e-05,0.9999660224457889,2019-07-01
0.021775695423550498,0.9782243045764496,1.848375496676964e-05,0.9999815162450333,2019-08-01
0.021213838457661883,0.9787861615423381,2.7042606589852417e-05,0.9999729573934102,2019-09-01
0.027878515136842745,0.9721214848631572,2.368754059827752e-05,0.9999763124594018,2019-10-01
0.020839901996079598,0.9791600980039205,1.7679103637448017e-05,0.9999823208963625,2019-11-01
0.02447695075372959,0.9755230492462704,1.7593406162677834e-05,0.9999824065938373,2019-12-01
0.03430276085329471,0.9656972391467052,0.0003211431719663208,0.9996788568280337,2020-01-01
0.022745693418608683,0.9772543065813913,3.7868932733385154e-05,0.9999621310672666,2020-02-01
0.02061849723749591,0.9793815027625041,3.0413638457074666e-05,0.9999695863615429,2020-03-01
0.03450924718194616,0.9654907528180539,2.6573046723163453e-05,0.9999734269532768,2020-04-01
0.04076022109305963,0.9592397789069403,0.0013181451437354072,0.9986818548562645,2020-05-01
0.02189319479177173,0.9781068052082283,0.00039438889532828907,0.9996056111046717,2020-06-01
0.018016811674702492,0.9819831883252975,0.002714468848033309,0.9972855311519667,2020-07-01
0.02093284054561202,0.979067159454388,0.00010249450086887251,0.9998975054991311,2020-08-01
0.041473240993862,0.958526759006138,6.70483544267019e-05,0.9999329516455734,2020-09-01
0.0413810622466493,0.9586189377533506,5.2852280882358816e-05,0.9999471477191177,2020-10-01
0.031080480633474385,0.9689195193665257,4.601142303339665e-05,0.9999539885769667,2020-11-01
0.025342959400321077,0.974657040599679,0.00011024355726591662,0.9998897564427341,2020-12-01
