Date,USD_Spread,KHR_Spread,P_crisis_USD,P_crisis_KHR,CRI_USD,CRI_KHR,CRI_System_LoanShare,CRI_System_Equal
2015-12-01,7.5491506371930335,15.60945806177024,0.0010271763049936045,4.2761148579262276e-05,0.19782089267669792,0.33335471390762295,0.2249276569228829,0.2655878032921604
2016-01-01,10.955529230900352,19.640276150976916,0.0003302635105431051,4.3272543304162525e-07,0.19747243627947267,0.33333354969604984,0.22464465896278812,0.26540299298776127
2016-02-01,10.595443100469032,19.894847557397114,0.3357591334223503,0.003430570039080316,0.3651868712353763,0.3350486183528735,0.35915922065887573,0.3501177447941249
2016-03-01,10.15445058608018,19.31729100190115,0.22988471989464898,0.0051807647508217425,0.3122496644715256,0.3359237157087442,0.3169844747189693,0.3240866900901349
2016-04-01,10.184135371764569,20.329455977473597,0.1302520794683294,0.0019813567623555572,0.26243334425836584,0.3343240117145111,0.2768114777495949,0.29837867798643847
2016-05-01,9.896903109502937,19.076830496928615,0.13583626780531877,0.010048285793290201,0.2652254384268605,0.3383574762299784,0.27985184598748414,0.3017914573284195
2016-06-01,10.04810866205475,19.274614465430055,0.08840925817805911,0.0012919442690249028,0.24151193361323067,0.33397930546784577,0.2600054079841537,0.28774561954053823
2016-07-01,9.110316841515257,19.013246663652367,0.11155976328460016,0.001838719615291029,0.25308718616650117,0.33425269314097883,0.2693202875613967,0.29366993965374
2016-08-01,9.130907987101548,21.079547463556636,0.02072168585554357,0.0011506838127379737,0.2076681474519729,0.3339086752397023,0.2329162530095188,0.2707884113458376
2016-09-01,8.821644900743447,19.28796501206114,0.021637578127052248,0.027933248819845713,0.20812609358772724,0.34729995774325617,0.23596086641883304,0.2777130256654917
2016-10-01,8.454970193047231,17.807349821728607,0.01096079942297623,0.0018823041406735852,0.20278770423568923,0.3342744854036701,0.22908506046928542,0.2685310948196797
2016-11-01,6.124268372801151,18.5531135463241,0.004492142946960764,0.00010305422594969471,0.1995533759976815,0.33338486044630816,0.22631967288740684,0.2664691182219948
2016-12-01,6.507962536114205,13.999553218080788,1.6390994557191618e-06,0.00048114709243540776,0.19730812407392898,0.333573906879551,0.22456128063505337,0.26544101547674
2017-01-01,7.279358993527229,26.649026710325508,7.917231323428808e-06,3.213286414727179e-09,0.19731126313986283,0.3333333349399765,0.22451567749988557,0.26532229903991966
2017-02-01,7.226134354372894,14.089385761341887,0.0001354785962928151,0.8750309708652189,0.19737504382234752,0.7708488187659428,0.3120697988110666,0.48411193129414515
2017-03-01,9.102453955235491,15.007061294755818,0.0001129335525684727,4.309997914120345e-09,0.19736377130048535,0.33333333548833227,0.22455768413805477,0.2653485533944088
2017-04-01,8.495090246303837,12.12537308432167,0.02038071414586362,7.553637482171638e-08,0.20749766159713293,0.3333333711015207,0.2326648034980105,0.2704155163493268
2017-05-01,6.923311045490069,12.47289956210982,0.004975363005814359,4.076183834911262e-12,0.1997949860271083,0.3333333333353714,0.22650265548876092,0.26656415968123987
