date,USD_spread,KHR_spread,lambda_usd_R40,lambda_khr_R40,PD_usd_R30,PD_usd_R40,PD_usd_R50,PD_khr_R30,PD_khr_R40,PD_khr_R50
2015-08-01,8.950061961665192,19.121383459476796,0.14916769936108654,0.3186897243246133,0.12002169746474212,0.1385753575768326,0.1638951367325986,0.23903097186365685,0.27289888389954353,0.3177967664952812
2015-09-01,8.536732327221852,18.971402864467382,0.1422788721203642,0.316190047741123,0.11481031088681615,0.1326206651593863,0.15695475123624292,0.23739878697871675,0.2710790927687219,0.3157473493663744
2015-10-01,9.012998526018688,19.61714950300623,0.15021664210031146,0.32695249171677054,0.1208125249126959,0.13947846896202043,0.1649469059969556,0.24440139751514123,0.27888199870892794,0.3245276060929385
2015-11-01,7.918421130640168,17.412787316647254,0.1319736855106695,0.2902131219441209,0.10695678111245321,0.12363594415144696,0.1464647376575039,0.22022830785587755,0.25189588681545316,0.29408168289425496
2015-12-01,7.5491506371930335,15.60945806177024,0.12581917728655057,0.26015763436283734,0.10223326868096272,0.11822572281388666,0.14013769476363414,0.19987895621253804,0.22906994884260667,0.26815692120681456
2016-01-01,10.955529230900352,19.640276150976916,0.18259215384833918,0.3273379358496153,0.1448749474444081,0.16689213370525313,0.19676711195999963,0.24465099146645786,0.2791598958512622,0.3248399620952528
2016-02-01,10.595443100469032,19.894847557397114,0.17659071834115053,0.3315807926232852,0.14046477585485184,0.1618772573986078,0.19096157165669558,0.2473930061610795,0.28221183811455197,0.3282687547707347
2016-03-01,10.15445058608018,19.31729100190115,0.16924084310133633,0.32195485003168584,0.1350327030862989,0.15569446626629135,0.18379441367234128,0.24115770263070713,0.2752690888310996,0.3204645119460138
2016-04-01,10.184135371764569,20.329455977473597,0.16973558952940948,0.3388242662912266,0.13539943059107729,0.15611208009831423,0.1842788476130257,0.25205123525076645,0.287392332725388,0.3340822533180404
2016-05-01,9.896903109502937,19.076830496928615,0.16494838515838228,0.31794717494881025,0.13184441078348863,0.15206253088338617,0.179579333376502,0.2385464830612033,0.2723587749156602,0.31718861208246063
2016-06-01,10.04810866205475,19.274614465430055,0.1674684777009125,0.3212435744238343,0.13371767179561445,0.15419672146745478,0.18205662888461882,0.24069492213198562,0.2747534220428651,0.31988425992899017
2016-07-01,9.110316841515257,19.013246663652367,0.15183861402525428,0.31688744439420613,0.12203397627719448,0.1408730794109314,0.16657064449856296,0.2378545097855621,0.27158726255123833,0.3163197444312241
2016-08-01,9.130907987101548,21.079547463556636,0.1521817997850258,0.35132579105927725,0.12229220009893449,0.14116786894923483,0.16691379913814208,0.2600231613064542,0.29624556040096617,0.3439976772527914
2016-09-01,8.821644900743447,19.28796501206114,0.14702741501239078,0.3214660835343523,0.11840586967199229,0.13672968947435282,0.16174497415568878,0.24083972457802372,0.2749147780615748,0.32006583402482414
