Date,KHR_Term_Deposits,KHR_Term_Loans,USD_Term_Deposits,USD_Term_Loans,spread_usd,spread_khr
2014-09-01,6.336118964768541,27.854856567921356,3.1516310615887817,12.54746824209012,9.395837180501339,21.518737603152815
2014-10-01,5.584663230173677,26.320941746371812,3.326381214053743,12.657158077540824,9.330776863487081,20.736278516198134
2014-11-01,6.37586931113749,26.93305068048427,3.220715311533277,11.618769578813827,8.39805426728055,20.557181369346782
2014-12-01,6.181629216509172,23.905712524027148,3.1015818479099413,11.151014611134858,8.049432763224917,17.724083307517976
2015-01-01,5.8438567402690405,26.68415486422704,3.1017423512106923,13.544464329259354,10.442721978048661,20.840298123958
2015-02-01,6.332634698162494,26.728090903089935,3.120974964685899,13.954527764294664,10.833552799608764,20.39545620492744
2015-03-01,6.25159436268055,26.743426553669774,3.333815128672694,14.46556434952769,11.131749220854998,20.491832190989225
2015-04-01,6.307968230475597,26.858216250682503,3.3613025429142978,13.805955863708515,10.444653320794217,20.550248020206908
2015-05-01,6.507841187557291,26.67918684240675,3.383357710444012,13.526717260111818,10.143359549667807,20.17134565484946
2015-06-01,6.147066853790629,26.496760701661003,3.1024061082104546,12.82670889947902,9.724302791268565,20.349693847870373
2015-07-01,6.13276513483602,26.092673108437932,3.45931391185585,12.985070584783266,9.525756672927416,19.95990797360191
2015-08-01,6.665862551012543,25.787246010489337,3.64022677601508,12.590288737680272,8.950061961665192,19.121383459476796
2015-09-01,5.95047429293513,24.921877157402513,3.4124794308872817,11.949211758109133,8.536732327221852,18.971402864467382
2015-10-01,5.80081461686782,25.417964119874053,3.1722297193223357,12.185228245341024,9.012998526018688,19.61714950300623
2015-11-01,6.171590629185404,23.584377945832657,3.251394190260041,11.16981532090021,7.918421130640168,17.412787316647254
2015-12-01,5.900631187150703,21.51008924892094,3.265908172495376,10.81505880968841,7.5491506371930335,15.609458061770239
2016-01-01,5.6226336627643665,25.26290981374128,3.3110082989436385,14.266537529843992,10.955529230900353,19.640276150976916
2016-02-01,5.873948058052701,25.768795615449815,3.3451746101005804,13.940617710569612,10.595443100469032,19.894847557397114
2016-03-01,6.614123177748023,25.931414179649177,3.5459986798475676,13.700449265927746,10.154450586080179,19.317291001901154
2016-04-01,5.855206553044476,26.18466253051807,3.2581740654911173,13.442309437255684,10.184135371764567,20.329455977473597
2016-05-01,6.379389084509174,25.45621958143779,3.4679168372614413,13.364819946764376,9.896903109502935,19.076830496928615
2016-06-01,6.707751145184199,25.982365610614256,3.751458843323839,13.799567505378588,10.04810866205475,19.274614465430055
2016-07-01,5.872701459343892,24.88594812299626,3.495652306214736,12.605969147729992,9.110316841515257,19.013246663652367
2016-08-01,3.561975580428121,24.64152304398476,3.340926285782638,12.471834272884186,9.130907987101548,21.079547463556636
2016-09-01,4.210109823405815,23.498074835466955,3.5848309758798864,12.406475876623333,8.821644900743447,19.28796501206114
2016-10-01,5.636255322458815,23.443605144187423,3.542606335998145,11.997576529045377,8.454970193047231,17.807349821728607
2016-11-01,4.79051886417564,23.343632410499737,3.3819701101321855,9.506238482933336,6.124268372801151,18.5531135463241
2016-12-01,6.440760116548236,20.440313334629025,3.6752855502093023,10.183248086323507,6.507962536114205,13.999553218080788
